Iteration,Makespan
0,502.5049283756896
1,502.5049283756896
2,498.2281796603639
3,498.2281796603639
4,463.6050807171402
5,463.6050807171402
6,463.6050807171402
7,463.6050807171402
8,463.6050807171402
9,463.6050807171402
10,463.6050807171402
11,463.6050807171402
12,463.6050807171402
13,463.6050807171402
14,463.6050807171402
15,463.6050807171402
16,463.6050807171402
17,463.6050807171402
18,463.6050807171402
19,463.6050807171402
20,463.6050807171402
21,463.6050807171402
22,463.6050807171402
23,459.82181929888515
24,459.82181929888515
25,459.82181929888515
26,459.82181929888515
27,459.82181929888515
28,459.82181929888515
29,459.82181929888515
30,459.82181929888515
31,459.82181929888515
32,459.82181929888515
33,459.82181929888515
34,459.82181929888515
35,459.82181929888515
36,459.82181929888515
37,459.82181929888515
38,459.82181929888515
39,459.82181929888515
40,459.82181929888515
41,459.82181929888515
42,459.82181929888515
43,459.82181929888515
44,459.82181929888515
45,459.82181929888515
46,459.82181929888515
47,459.82181929888515
48,459.82181929888515
49,459.82181929888515
50,459.82181929888515
51,459.82181929888515
52,459.82181929888515
53,459.82181929888515
54,459.82181929888515
55,459.82181929888515
56,459.82181929888515
57,459.82181929888515
58,459.82181929888515
59,459.82181929888515
60,459.82181929888515
61,459.82181929888515
62,459.82181929888515
63,459.82181929888515
64,459.82181929888515
65,459.82181929888515
66,459.82181929888515
67,459.82181929888515
68,459.82181929888515
69,453.56003492561297
70,453.56003492561297
71,453.56003492561297
72,453.56003492561297
73,453.56003492561297
74,453.56003492561297
75,453.56003492561297
76,453.56003492561297
77,453.56003492561297
78,453.56003492561297
79,453.56003492561297
80,453.56003492561297
81,453.56003492561297
82,453.56003492561297
83,453.56003492561297
84,453.56003492561297
85,453.56003492561297
86,453.56003492561297
87,453.56003492561297
88,453.56003492561297
89,453.56003492561297
90,453.56003492561297
91,453.56003492561297
92,453.56003492561297
93,453.56003492561297
94,453.56003492561297
95,453.56003492561297
96,453.56003492561297
97,453.56003492561297
98,453.56003492561297
99,453.56003492561297
